filename,emotion
./audio/W037_disgusted_level_1_W037_disgusted_level_1_026.wav,disgusted
./audio/W037_happy_level_3_W037_happy_level_3_002.wav,happy
./audio/W040_sad_level_2_W040_sad_level_2_W040_sad_level_2_016.wav,sad
./audio/M011_sad_level_2_M011_sad_level_2_M011_sad_level_2_018.wav,sad
./audio/W036_angry_level_3_W036_angry_level_3_W036_angry_level_3_026.wav,angry
./audio/W036_disgusted_level_3_W036_disgusted_level_3_W036_disgusted_level_3_026.wav,disgusted
./audio/W036_neutral_level_1_W036_neutral_level_1_W036_neutral_level_1_021.wav,neutral
./audio/W036_neutral_level_1_W036_neutral_level_1_W036_neutral_level_1_001.wav,neutral
./audio/W037_happy_level_3_W037_happy_level_3_053.wav,happy
./audio/W039_angry_level_2_W039_angry_level_2_W039_angry_level_2_008.wav,angry
./audio/W036_angry_level_3_W036_angry_level_3_W036_angry_level_3_016.wav,angry
./audio/M011_fear_level_1_M011_fear_level_1_M011_fear_level_1_026.wav,fear
./audio/M007_fear_level_2_M007_fear_level_2_M007_fear_level_2_023.wav,fear
./audio/W036_surprised_level_2_W036_surprised_level_2_W036_surprised_level_2_043.wav,surprised
./audio/M007_fear_level_1_M007_fear_level_1_M007_fear_level_1_010.wav,fear
./audio/W039_surprised_level_1_W039_surprised_level_1_W039_surprised_level_1_001.wav,surprised
./audio/W040_surprised_level_3_W040_surprised_level_3_W040_surprised_level_3_024.wav,surprised
./audio/W039_neutral_level_1_W039_neutral_level_1_W039_neutral_level_1_014.wav,neutral
./audio/M011_sad_level_3_M011_sad_level_3_M011_sad_level_3_025.wav,sad
./audio/W038_happy_level_1_W038_happy_level_1_W038_happy_level_1_008.wav,happy
./audio/M003_contempt_level_3_M003_contempt_level_3_M003_contempt_level_3_028.wav,contempt
./audio/W036_contempt_level_2_W036_contempt_level_2_W036_contempt_level_2_010.wav,contempt
./audio/W037_disgusted_level_1_W037_disgusted_level_1_036.wav,disgusted
./audio/M011_contempt_level_2_M011_contempt_level_2_M011_contempt_level_2_009.wav,contempt
